

algo,lightgbm
dataset,criteo
trees,10
batch_size,10
framework,NvidiaFILGPU
max_gpu_usage,28
max_mem_usage,1509
max_pyt_usage,1057

